Inspection ID;Inspection Group;Inspection Name;Inspection Language;Inspection Type;Absolute Time spent on Inspection, s;Percent of Time spent on Inspection;Problems Count;Times Inspection was Performed
InjectedReferences;General;Injected references;;LOCAL;1.69;79.60%;0;101
DataFlowIssue;Java/Probable bugs;Nullability and data flow problems;JAVA;LOCAL;0.04;1.89%;0;4
deprecation;Java/Code maturity;Deprecated API usage;UAST;LOCAL;0.03;1.59%;0;4
KotlinTestJUnit;Kotlin;kotlin-test-junit could be used;XML;LOCAL;0.03;1.55%;0;22
DeprecatedMavenDependency;Kotlin;Deprecated library is used in Maven;XML;LOCAL;0.03;1.51%;0;22
DifferentKotlinMavenVersion;Kotlin;Maven and IDE plugins versions are different;XML;LOCAL;0.02;1.14%;0;22
UnnecessaryLocalVariable;Java/Data flow;Redundant local variable;JAVA;LOCAL;0.02;1.02%;0;4
DuplicatedCode;General;Duplicated code fragment;;LOCAL;0.02;0.89%;0;101
Contract;Java/Probable bugs;Contract issues;JAVA;LOCAL;0.02;0.79%;0;4
CustomRegExpInspection;RegExp;Custom RegExp inspection;;LOCAL;0.01;0.62%;0;101
UnsupportedCharacter;Java/Properties files;Unsupported character;UAST;LOCAL;0.01;0.60%;0;4
UNUSED_IMPORT;Java/Imports;Unused import;JAVA;GLOBAL_SIMPLE;0.01;0.59%;11;101
ConditionCoveredByFurtherCondition;Java/Verbose or redundant code constructs;Condition is covered by further condition;JAVA;LOCAL;0.01;0.55%;0;4
StringConcatenationInLoop;Java/Performance;String concatenation in loop;JAVA;LOCAL;0.01;0.52%;0;4
preview;Java/Compiler issues;Preview Feature warning;JAVA;LOCAL;0.01;0.47%;0;4
resource;Java/Resource management;AutoCloseable used without 'try'-with-resources;JAVA;LOCAL;0.01;0.42%;0;4
ObviousNullCheck;Java/Verbose or redundant code constructs;Null-check method is called with obviously non-null argument;JAVA;LOCAL;0.01;0.42%;0;4
NotNullFieldNotInitialized;Java/Probable bugs/Nullability problems;Non-null field is not initialized;JAVA;LOCAL;0.01;0.40%;0;4
unchecked;Java/Compiler issues;Unchecked warning;JAVA;LOCAL;0.01;0.39%;0;4
RedundantIfStatement;Java/Control flow issues;Redundant 'if' statement;JAVA;LOCAL;0.01;0.37%;0;4
MagicConstant;Java/Probable bugs;Magic constant;JAVA;LOCAL;0.01;0.36%;0;4
ClassEscapesDefinedScope;Java/Visibility;Class is exposed outside of its visibility scope;JAVA;LOCAL;0.01;0.36%;0;4
KotlinMavenPluginPhase;Kotlin;Kotlin Maven Plugin misconfigured;XML;LOCAL;0.01;0.32%;0;22
NewClassNamingConvention;Java/Naming conventions/Class;Class naming convention;JAVA;LOCAL;0.01;0.29%;0;4
CommentedOutCode;Java/Code maturity;Commented out code;JAVA;LOCAL;0.01;0.27%;1;4
MismatchedQueryAndUpdateOfStringBuilder;Java/Probable bugs;Mismatched query and update of 'StringBuilder';JAVA;LOCAL;0.01;0.27%;0;4
DialogTitleCapitalization;Java/Internationalization;Incorrect string capitalization;UAST;LOCAL;0.01;0.24%;0;4
DataProviderReturnType;Java/TestNG;Invalid data provider return type;JAVA;LOCAL;0.00;0.19%;0;4
groupsTestNG;Java/TestNG;Undefined group name;JAVA;LOCAL;0.00;0.16%;0;4
