# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
parser.HTML.time.ns,1781083788946000000,1781083848958000000,93026753
lexer.JAVA.size.bytes,1781083788946000000,1781083848958000000,16670
parser.XML.time.ns,1781083788946000000,1781083848958000000,2
LowMemory.gcLoad,1781083788946000000,1781083848958000000,0.0
parser.JAVA.time.ns,1781083788946000000,1781083848958000000,54503587
writeAction.median.wait.ms,1781083788946000000,1781083848958000000,0
writeAction.max.wait.ms,1781083788946000000,1781083848958000000,18
parser.JAVA.size.bytes,1781083788946000000,1781083848958000000,21782
lexer.JAVA.time.ns,1781083788946000000,1781083848958000000,4533542
DiskQueryRelay.tasksRequested,1781083788946000000,1781083848958000000,66098
lexer.XML.size.bytes,1781083788946000000,1781083848958000000,813
parser.HTML.size.bytes,1781083788946000000,1781083848958000000,454072
writeAction.count,1781083788946000000,1781083848958000000,26
parser.XML.size.bytes,1781083788946000000,1781083848958000000,813
LowMemory.gcOverloaded,1781083788946000000,1781083848958000000,0
lexer.XML.time.ns,1781083788946000000,1781083848958000000,49083
writeAction.wait.ms,1781083788946000000,1781083848958000000,54
DiskQueryRelay.taskWaitingTotalTimeUs,1781083788946000000,1781083848958000000,5534570
DiskQueryRelay.taskExecutionTotalTimeUs,1781083788946000000,1781083848958000000,2945987
lexer.HTML.size.bytes,1781083788946000000,1781083848958000000,454072
DiskQueryRelay.tasksExecuted,1781083788946000000,1781083848958000000,66097
lexer.HTML.time.ns,1781083788946000000,1781083848958000000,310226001
cacheStateStorage.get.counter,1781083788946000000,1781083848958000000,13
cacheStateStorage.get.duration,1781083788946000000,1781083848958000000,0
cacheStateStorage.set.counter,1781083788946000000,1781083848958000000,3
cacheStateStorage.set.duration,1781083788946000000,1781083848958000000,13
Indexes.stubs.lookupDurationMaxMs,1781083788946000000,1781083848958000000,4.0
Indexes.stubs.lookups,1781083788946000000,1781083848958000000,2573
Indexing.cache.totalCacheEvicted,1781083788946000000,1781083848958000000,2470451
Indexes.allKeys.lookupDurationMaxMs,1781083788946000000,1781083848958000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1781083788946000000,1781083848958000000,844
Indexes.stubs.lookupDurationAvgMs,1781083788946000000,1781083848958000000,0.011659541391371939
Indexing.writesQueuedMax,1781083788946000000,1781083848958000000,3038
Indexing.writesQueuedMin,1781083788946000000,1781083848958000000,0
Indexes.entries.lookupDurationAvgMs,1781083788946000000,1781083848958000000,1.6666666666666667
Indexes.entries.lookupDurationMaxMs,1781083788946000000,1781083848958000000,5.0
Indexes.entries.lookups,1781083788946000000,1781083848958000000,3
Indexing.writer_3.totalTimeSpentWritingMs,1781083788946000000,1781083848958000000,2121
Indexing.totalTimeIndexersSleptMs,1781083788946000000,1781083848958000000,33393
Indexing.writer_2.totalTimeSpentWritingMs,1781083788946000000,1781083848958000000,2053
Indexes.allKeys.lookups,1781083788946000000,1781083848958000000,0
Indexing.writesQueuedAvg,1781083788946000000,1781083848958000000,166.06363636363636
Indexes.stubs.lookupDuration90PMs,1781083788946000000,1781083848958000000,0.0
Indexes.entries.lookupDuration90PMs,1781083788946000000,1781083848958000000,5.0
Indexing.cache.totalCacheMisses,1781083788946000000,1781083848958000000,2470451
Indexing.writer_0.totalTimeSpentWritingMs,1781083788946000000,1781083848958000000,5411
Indexes.allKeys.lookupDuration90PMs,1781083788946000000,1781083848958000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1781083788946000000,1781083848958000000,0.0
Indexing.cache.totalCacheAccesses,1781083788946000000,1781083848958000000,9969989
jps.project.serializers.load.ms,1781083788946000000,1781083848958000000,18
jps.artifact.entities.serializer.load.entities.ms,1781083788946000000,1781083848958000000,3
workspaceModel.moduleBridge.facet.initialization.ms,1781083788946000000,1781083848958000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1781083788946000000,1781083848958000000,1
workspaceModel.mutableEntityStorage.remove.entity.ms,1781083788946000000,1781083848958000000,0
jps.global.handle.before.change.events.ms,1781083788946000000,1781083848958000000,0
